scheme, band, l, c0, c1, c2, c3, c4, c5, c6, c7, c8
B, prism_b8, none, 5.3232e-01, -1.2587e-01, -1.5853e-01, 3.7834e-02, -2.7583e-03, 0.0, 0.0, 0.0, 0.0
B, prism_r8, giant, 9.8394e-01, -5.9641e-01, -2.2685e-01, 6.5992e-02, -5.6170e-03, 0.0, 0.0, 0.0, 0.0
B, prism_r8, dwarf, 7.9590e-01, 2.7927e-01, -1.4031e+00, 7.0354e-01, -1.1623e-01, 0.0, 0.0, 0.0, 0.0
B, prism_r8, none, 1.0819e+00, -6.9866e-01, -1.9033e-01, 6.0937e-02, -5.4063e-03, 0.0, 0.0, 0.0, 0.0
B, grism_b8, giant, 7.3257e-01, -3.5216e-01, -1.8939e-01, 5.0432e-02, -4.0859e-03, 0.0, 0.0, 0.0, 0.0
B, grism_b8, dwarf, 5.7827e-01, 2.3439e-01, -9.0570e-01, 4.2146e-01, -6.7629e-02, 0.0, 0.0, 0.0, 0.0
B, grism_b8, none, 7.5633e-01, -3.4982e-01, -2.0592e-01, 5.6606e-02, -4.7099e-03, 0.0, 0.0, 0.0, 0.0
B, grism_r8, giant, 1.4853e+00, -8.3771e-01, -3.6291e-01, 1.0856e-01, -9.2970e-03, 0.0, 0.0, 0.0, 0.0
B, grism_r8, dwarf, 1.0342e+00, 1.2288e+00, -2.9986e+00, 1.4455e+00, -2.2887e-01, 0.0, 0.0, 0.0, 0.0
B, grism_r8, none, 1.7761e+00, -1.1706e+00, -2.3247e-01, 8.8212e-02, -8.2527e-03, 0.0, 0.0, 0.0, 0.0
C, f062, giant, -2.4500e-01, 5.9342e+00, -5.6212e+00, 4.4431e+00, -1.0282e+00, 0.0, 0.0, 0.0, 0.0
C, f062, dwarf, 5.9477e-01, 1.5276e+00, 2.4152e+00, -1.6505e+00, 7.4312e-01, 0.0, 0.0, 0.0, 0.0
C, f062, none, 2.9742e-01, 3.5472e+00, -2.0504e+00, 2.2812e+00, -5.7742e-01, 0.0, 0.0, 0.0, 0.0
C, f087, giant, 4.0233e-01, 2.7084e+00, -1.3731e+00, 9.7210e-01, -2.1779e-01, 0.0, 0.0, 0.0, 0.0
C, f087, dwarf, 7.7793e-01, 6.1474e-01, 2.9339e+00, -2.8947e+00, 9.5177e-01, 0.0, 0.0, 0.0, 0.0
C, f087, none, 6.5073e-01, 1.6182e+00, 2.3265e-01, 1.5348e-02, -2.0993e-02, 0.0, 0.0, 0.0, 0.0
C, f106, giant, 8.1438e-01, 1.1417e+00, 4.8323e-01, -3.8661e-01, 8.2150e-02, 0.0, 0.0, 0.0, 0.0
C, f106, dwarf, 9.1933e-01, 3.9956e-01, 2.5659e+00, -2.8078e+00, 9.3126e-01, 0.0, 0.0, 0.0, 0.0
C, f106, none, 8.7183e-01, 9.1887e-01, 7.7837e-01, -5.4877e-01, 1.1362e-01, 0.0, 0.0, 0.0, 0.0
C, f129, giant, 1.1749e+00, -7.5186e-02, 1.7255e+00, -1.2334e+00, 2.6477e-01, 0.0, 0.0, 0.0, 0.0
C, f129, dwarf, 1.0837e+00, 3.0522e-01, 1.7419e+00, -2.2186e+00, 8.4696e-01, 0.0, 0.0, 0.0, 0.0
C, f129, none, 1.1222e+00, 2.6033e-01, 1.1228e+00, -8.2905e-01, 1.7508e-01, 0.0, 0.0, 0.0, 0.0
C, f146, giant, 1.2238e+00, 2.6599e-02, 1.4404e+00, -1.1293e+00, 2.5617e-01, 0.0, 0.0, 0.0, 0.0
C, f146, dwarf, 1.1610e+00, 3.5219e-01, 1.5691e+00, -2.3907e+00, 1.0253e+00, 0.0, 0.0, 0.0, 0.0
C, f146, none, 1.2163e+00, 2.3063e-01, 9.6456e-01, -7.7227e-01, 1.7199e-01, 0.0, 0.0, 0.0, 0.0
C, f158, giant, 1.4978e+00, -9.1569e-01, 2.3357e+00, -1.6913e+00, 3.7374e-01, 0.0, 0.0, 0.0, 0.0
C, f158, dwarf, 1.3051e+00, 3.0927e-01, 6.8331e-01, -1.7379e+00, 9.5838e-01, 0.0, 0.0, 0.0, 0.0
C, f158, none, 1.4532e+00, -4.1801e-01, 1.2950e+00, -9.4153e-01, 2.0034e-01, 0.0, 0.0, 0.0, 0.0
C, f184, giant, 1.7828e+00, -1.2392e+00, 2.5411e+00, -1.9043e+00, 4.3055e-01, 0.0, 0.0, 0.0, 0.0
C, f184, dwarf, 1.5439e+00, 3.0102e-01, 3.4284e-01, -1.7150e+00, 1.0564e+00, 0.0, 0.0, 0.0, 0.0
C, f184, none, 1.7279e+00, -6.3557e-01, 1.2823e+00, -9.9853e-01, 2.2116e-01, 0.0, 0.0, 0.0, 0.0
C, f213, giant, 2.0895e+00, -1.4660e+00, 2.8659e+00, -2.1758e+00, 4.9287e-01, 0.0, 0.0, 0.0, 0.0
C, f213, dwarf, 1.8126e+00, 1.7276e-01, 6.0423e-01, -1.9517e+00, 1.0525e+00, 0.0, 0.0, 0.0, 0.0
C, f213, none, 1.9905e+00, -7.1503e-01, 1.4319e+00, -1.1823e+00, 2.6785e-01, 0.0, 0.0, 0.0, 0.0
C, prism, giant, 9.8537e-01, 7.3246e-01, 7.2633e-01, -6.2210e-01, 1.4406e-01, 0.0, 0.0, 0.0, 0.0
C, prism, dwarf, 1.0292e+00, 4.1728e-01, 2.0301e+00, -2.6556e+00, 1.0399e+00, 0.0, 0.0, 0.0, 0.0
C, prism, none, 1.0291e+00, 6.4684e-01, 7.4295e-01, -5.8633e-01, 1.3008e-01, 0.0, 0.0, 0.0, 0.0
C, grism, giant, 1.2656e+00, -1.9808e-01, 1.6997e+00, -1.2768e+00, 2.8420e-01, 0.0, 0.0, 0.0, 0.0
C, grism, dwarf, 1.1672e+00, 3.3151e-01, 1.4357e+00, -2.2318e+00, 9.7501e-01, 0.0, 0.0, 0.0, 0.0
C, grism, none, 1.2373e+00, 1.0731e-01, 1.0639e+00, -8.2001e-01, 1.7881e-01, 0.0, 0.0, 0.0, 0.0
